,Range,Mean_Pitch,Major_or_Minor,Chromatic_Motion,Direction_of_Melodic_Motion,Melodic_Pitch_Variety,Note_Density,Average_Note_Duration,Rhythmic_Variability
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 116.mid",26.0, 55.0, 0.0, 0.0, 0.381, 3.75, 8.005, 0.1198, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1173.mid",17.0, 61.0, 0.0, 0.0, 0.4, 3.0, 0.7505, 1.807, 0.03903
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1174.mid",46.0, 53.0, 0.0, 0.0, 0.3333, 3.963, 8.001, 0.1198, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 118.mid",26.0, 62.0, 0.0, 0.0, 0.3451, 3.004, 8.001, 0.1233, 0.01872
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 119.mid",7.0, 38.0, 0.0, 0.0, 0.6667, 3.833, 0.3125, 3.2, 0.07881
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 120.mid",27.0, 51.0, 0.0, 0.0, 0.3333, 4.18, 8.005, 0.1198, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 121.mid",27.0, 52.0, 0.0, 0.0, 0.0, 1.455, 3.0, 1.333, 0.04329
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 124.mid",15.0, 79.0, 0.0, 0.005464, 0.3497, 4.047, 14.38, 0.06957, 0.01491
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 125.mid",2.0, 53.0, 0.0, 0.3191, 0.6522, 2.867, 3.118, 0.1552, 0.02845
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 126.mid",10.0, 56.0, 0.0, 0.0, 0.3333, 2.911, 3.121, 0.2812, 0.02603
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 127.mid",0.0, 54.0, 0.0, 0.0, 0.0, 1.0, 2.067, 0.2193, 0.04114
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 128.mid",5.0, 49.0, 0.0, 0.0, 0.5333, 1.955, 3.183, 0.266, 0.03455
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 129.mid",1.0, 57.0, 0.0, 0.3077, 0.5, 1.75, 1.835, 0.346, 0.02737
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 130.mid",8.0, 67.0, 0.0, 0.0, 0.3636, 3.0, 1.601, 0.5268, 0.0403
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 131.mid",8.0, 45.0, 0.0, 0.0, 0.5714, 1.833, 2.674, 0.2755, 0.02528
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 132.mid",9.0, 56.0, 0.0, 0.0, 0.6364, 2.846, 2.087, 0.4375, 0.03096
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 133.mid",3.0, 56.0, 0.0, 0.0, 0.5217, 2.0, 3.151, 0.3243, 0.03308
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 134.mid",10.0, 56.0, 0.0, 0.0, 0.3333, 2.911, 3.121, 0.2812, 0.02603
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 135.mid",0.0, 54.0, 0.0, 0.0, 0.0, 1.0, 2.067, 0.2193, 0.04114
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 136.mid",1.0, 45.0, 0.0, 0.4839, 0.5333, 1.933, 2.083, 0.238, 0.0239
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 137.mid",7.0, 65.0, 0.0, 0.3043, 0.3478, 3.0, 1.578, 0.4694, 0.04835
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 138.mid",40.0, 48.0, 0.0, 0.0, 0.4094, 2.936, 8.0, 0.12, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 14.mid",10.0, 65.0, 0.0, 0.2, 0.4516, 3.703, 3.115, 0.1172, 0.02549
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 140.mid",0.0, 50.0, 0.0, 0.0, 0.0, 1.0, 2.261, 0.09615, 0.04891
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 141.mid",7.0, 43.0, 0.0, 0.0, 0.4286, 2.833, 2.945, 0.2903, 0.03503
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 142.mid",4.0, 42.0, 0.0, 0.0, 0.5, 3.0, 1.6, 0.5273, 0.04553
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 143.mid",13.0, 44.0, 0.0, 0.08333, 0.5833, 4.333, 0.8647, 1.17, 0.03937
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 144.mid",7.0, 58.0, 0.0, 0.0, 0.5, 2.0, 0.625, 1.6, 0.07881
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 145.mid",15.0, 56.0, 0.0, 0.0, 0.4615, 2.0, 2.999, 0.2344, 0.02736
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 146.mid",15.0, 56.0, 0.0, 0.0, 0.4615, 2.0, 2.999, 0.2344, 0.02736
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 147.mid",4.0, 43.0, 0.0, 0.0, 0.4286, 1.423, 2.375, 0.25, 0.03256
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 148.mid",15.0, 58.0, 0.0, 0.0303, 0.4783, 3.962, 4.387, 0.1912, 0.02748
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 149.mid",22.0, 59.0, 0.0, 0.0339, 0.9091, 1.286, 7.505, 0.1031, 0.02425
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 15.mid",10.0, 65.0, 0.0, 0.0, 0.4571, 3.75, 3.36, 0.1154, 0.02291
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 150.mid",15.0, 58.0, 0.0, 0.05882, 0.09091, 3.037, 4.375, 0.1412, 0.02524
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 151.mid",7.0, 65.0, 0.0, 0.02564, 0.5556, 1.125, 2.5, 0.125, 0.02759
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 152.mid",15.0, 58.0, 0.0, 0.05882, 0.09091, 3.037, 4.375, 0.1412, 0.02524
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 16.mid",5.0, 52.0, 0.0, 0.02083, 0.2857, 1.071, 3.285, 0.1085, 0.01691
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 161.mid",36.0, 45.0, 0.0, 0.0, 0.4078, 2.927, 8.0, 0.12, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 163.mid",8.0, 32.0, 0.0, 0.1667, 0.6667, 2.0, 0.2625, 1.035, 0.05625
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 165.mid",7.0, 40.0, 0.0, 0.08511, 0.7333, 2.976, 1.26, 0.3135, 0.02561
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 166.mid",7.0, 40.0, 0.0, 0.2857, 0.7143, 4.0, 0.21, 0.9484, 0.05604
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 17.mid",5.0, 64.0, 0.0, 0.1702, 0.5769, 3.659, 3.226, 0.1172, 0.02002
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 170.mid",5.0, 59.0, 0.0, 0.0, 0.5, 1.0, 0.375, 0.2034, 0.02986
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 173.mid",5.0, 59.0, 0.0, 0.0, 0.5, 1.0, 0.375, 0.2034, 0.02984
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 18.mid",16.0, 59.0, 0.0, 0.07143, 0.5714, 4.913, 3.801, 0.1509, 0.02442
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 180.mid",24.0, 47.0, 0.0, 0.0, 1.0, 1.0, 0.3375, 0.2116, 0.02998
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 182.mid",2.0, 67.0, 0.0, 0.0, 0.3333, 1.538, 0.2188, 0.1505, 0.02766
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 183.mid",48.0, 48.0, 0.0, 0.0, 0.3451, 4.791, 8.5, 0.1196, 0.01993
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 186.mid",39.0, 62.0, 0.0, 0.0, 0.3307, 3.885, 8.003, 0.1198, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 188.mid",31.0, 48.0, 0.0, 0.0, 0.3333, 4.026, 8.005, 0.1198, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 19.mid",5.0, 53.0, 0.0, 0.7468, 0.5, 2.36, 5.379, 0.1457, 0.02327
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 190.mid",33.0, 47.0, 0.0, 0.0, 0.3291, 3.952, 8.004, 0.1198, 0.02423
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 20.mid",7.0, 58.0, 0.0, 0.2439, 0.56, 4.371, 2.811, 0.1463, 0.02471
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 21.mid",10.0, 68.0, 0.0, 0.102, 0.3636, 4.024, 3.336, 0.2187, 0.02498
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 22.mid",10.0, 52.0, 0.0, 0.0, 0.5217, 2.155, 4.278, 0.1343, 0.02892
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 23.mid",46.0, 50.0, 0.0, 0.0, 0.3636, 3.182, 3.8, 0.2508, 0.0259
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 24.mid",20.0, 56.0, 0.0, 0.5102, 0.6087, 3.976, 3.36, 0.1325, 0.03007
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 25.mid",9.0, 54.0, 0.0, 0.07407, 0.7143, 2.362, 3.667, 0.1408, 0.02393
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 26.mid",10.0, 61.0, 0.0, 0.1017, 0.5417, 3.8, 4.031, 0.1465, 0.02415
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 27.mid",3.0, 56.0, 0.0, 0.01887, 0.5556, 2.04, 3.604, 0.1516, 0.02317
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 28.mid",10.0, 60.0, 0.0, 0.04082, 0.5161, 3.778, 3.341, 0.1583, 0.02497
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 29.mid",1.0, 50.0, 0.0, 0.2439, 0.5, 1.825, 2.822, 0.1562, 0.02643
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 294.mid",19.0, 65.0, 0.0, 0.1481, 0.6522, 4.0, 3.625, 0.1034, 0.01796
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 295.mid",9.0, 68.0, 0.0, 0.3825, 0.4317, 4.834, 2.955, 0.1316, 0.02136
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 296.mid",19.0, 70.0, 0.0, 0.0, 0.4959, 4.632, 4.016, 0.125, 0.0348
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 297.mid",39.0, 60.0, 0.0, 0.04706, 0.5804, 5.184, 8.0, 0.125, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 298.mid",53.0, 63.0, 0.0, 0.035, 0.635, 6.207, 6.281, 0.1312, 0.02423
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 30.mid",5.0, 53.0, 0.0, 0.2558, 0.4286, 2.923, 2.946, 0.2092, 0.02382
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 31.mid",3.0, 54.0, 0.0, 0.338, 0.5161, 2.03, 4.811, 0.1147, 0.02326
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 311.mid",46.0, 62.0, 0.0, 0.0, 0.7619, 9.344, 4.0, 0.25, 0.03481
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 32.mid",1.0, 57.0, 0.0, 0.15, 0.4444, 1.983, 4.084, 0.1149, 0.02445
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 328.mid",35.0, 51.0, 0.0, 0.0, 0.4921, 3.968, 8.003, 0.1198, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 33.mid",24.0, 62.0, 0.0, 0.1404, 0.3265, 3.766, 3.869, 0.1268, 0.02428
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 330.mid",19.0, 79.0, 0.0, 0.1463, 0.4483, 3.375, 5.626, 0.1278, 0.01452
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 334.mid",15.0, 54.0, 0.0, 0.02128, 0.5652, 4.103, 3.199, 0.2539, 0.03031
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 339.mid",24.0, 48.0, 0.0, 0.0, 0.3307, 3.89, 8.003, 0.1198, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 34.mid",11.0, 47.0, 0.0, 0.1429, 0.4444, 5.536, 4.418, 0.1114, 0.02758
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 341.mid",26.0, 53.0, 0.0, 0.0, 0.3333, 3.974, 8.001, 0.1198, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 345.mid",34.0, 59.0, 0.0, 0.0, 0.3386, 4.0, 8.003, 0.1198, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 347.mid",12.0, 62.0, 0.0, 0.3333, 0.8333, 2.0, 0.875, 0.6786, 0.06219
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 348.mid",43.0, 52.0, 0.0, 0.0, 0.3707, 3.432, 8.003, 0.1198, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 35.mid",22.0, 66.0, 0.0, 0.06349, 0.5079, 6.358, 4.303, 0.1074, 0.03481
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 350.mid",0.0, 41.0, 0.0, 0.0, 0.0, 1.0, 3.516, 0.2493, 0.02467
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 351.mid",0.0, 45.0, 0.0, 0.0, 0.0, 1.0, 4.633, 0.136, 0.02505
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 352.mid",0.0, 57.0, 0.0, 0.0, 0.0, 1.0, 4.163, 0.1836, 0.02775
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 353.mid",1.0, 63.0, 0.0, 0.3721, 0.5, 1.905, 5.529, 0.1402, 0.02441
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 354.mid",0.0, 43.0, 0.0, 0.0, 0.0, 1.0, 3.25, 0.2422, 0.02804
